Item ID,Shampoo Name,Category,Date Sold,Quantity Sold,Unit Price,COGS,Profit
SHMP008,Volume Boost,Volumizing,2023-02-01,206,14.5,1287.5,1699.5
SHMP002,Dandruff Defense,Anti-Dandruff,2023-04-01,495,15.5,3366.0,4306.5
SHMP009,Baby Gentle,Kids,2023-12-01,320,8.99,1216.0,1660.8
SHMP001,Herbal Bliss,Herbal,2023-06-01,491,12.99,2700.5,3677.59
SHMP010,Scalp Soother,Medicated,2023-02-01,121,17.25,907.5,1179.75
SHMP004,Keratin Repair,Repair,2023-09-01,361,18.75,2960.2,3808.55
SHMP002,Dandruff Defense,Anti-Dandruff,2023-01-01,266,15.5,1808.8,2314.2
SHMP003,Silky Smooth,Moisturizing,2023-06-01,86,10.99,408.5,536.64
SHMP004,Keratin Repair,Repair,2023-06-01,85,18.75,697.0,896.75
SHMP001,Herbal Bliss,Herbal,2023-08-01,389,12.99,2139.5,2913.61
SHMP002,Dandruff Defense,Anti-Dandruff,2023-11-01,377,15.5,2563.6,3279.9
SHMP003,Silky Smooth,Moisturizing,2023-07-01,319,10.99,1515.25,1990.56
SHMP005,Coconut Nourish,Natural,2023-04-01,118,13.25,696.2,867.3
SHMP007,Argan Oil Therapy,Luxury,2023-09-01,483,16.99,3525.9,4680.27
SHMP009,Baby Gentle,Kids,2023-10-01,97,8.99,368.6,503.43
SHMP010,Scalp Soother,Medicated,2023-03-01,413,17.25,3097.5,4026.75
SHMP002,Dandruff Defense,Anti-Dandruff,2023-10-01,63,15.5,428.4,548.1
SHMP005,Coconut Nourish,Natural,2023-08-01,254,13.25,1498.6,1866.9
SHMP009,Baby Gentle,Kids,2023-08-01,297,8.99,1128.6,1541.43
SHMP007,Argan Oil Therapy,Luxury,2023-05-01,307,16.99,2241.1,2974.83
SHMP007,Argan Oil Therapy,Luxury,2023-02-01,215,16.99,1569.5,2083.35
SHMP010,Scalp Soother,Medicated,2023-07-01,252,17.25,1890.0,2457.0
SHMP009,Baby Gentle,Kids,2023-02-01,402,8.99,1527.6,2086.38
SHMP010,Scalp Soother,Medicated,2023-01-01,179,17.25,1342.5,1745.25
SHMP005,Coconut Nourish,Natural,2023-10-01,111,13.25,654.9,815.85
SHMP009,Baby Gentle,Kids,2023-11-01,252,8.99,957.6,1307.88
SHMP005,Coconut Nourish,Natural,2023-02-01,242,13.25,1427.8,1778.7
SHMP006,Tea Tree Fresh,Clarifying,2023-09-01,301,11.45,1489.95,1956.5
SHMP006,Tea Tree Fresh,Clarifying,2023-11-01,311,11.45,1539.45,2021.5
SHMP003,Silky Smooth,Moisturizing,2023-09-01,52,10.99,247.0,324.48
SHMP008,Volume Boost,Volumizing,2023-08-01,150,14.5,937.5,1237.5
SHMP007,Argan Oil Therapy,Luxury,2023-04-01,158,16.99,1153.4,1531.02
SHMP004,Keratin Repair,Repair,2023-08-01,123,18.75,1008.6,1297.65
SHMP007,Argan Oil Therapy,Luxury,2023-11-01,100,16.99,730.0,969.0
SHMP001,Herbal Bliss,Herbal,2023-09-01,493,12.99,2711.5,3692.57
SHMP004,Keratin Repair,Repair,2023-02-01,55,18.75,451.0,580.25
SHMP007,Argan Oil Therapy,Luxury,2023-06-01,283,16.99,2065.9,2742.27
SHMP001,Herbal Bliss,Herbal,2023-03-01,376,12.99,2068.0,2816.24
SHMP001,Herbal Bliss,Herbal,2023-12-01,68,12.99,374.0,509.32
SHMP010,Scalp Soother,Medicated,2023-06-01,310,17.25,2325.0,3022.5
SHMP001,Herbal Bliss,Herbal,2023-01-01,211,12.99,1160.5,1580.39
SHMP009,Baby Gentle,Kids,2023-09-01,66,8.99,250.8,342.54
SHMP003,Silky Smooth,Moisturizing,2023-05-01,414,10.99,1966.5,2583.36
SHMP001,Herbal Bliss,Herbal,2023-05-01,62,12.99,341.0,464.38
SHMP006,Tea Tree Fresh,Clarifying,2023-01-01,311,11.45,1539.45,2021.5
SHMP008,Volume Boost,Volumizing,2023-06-01,267,14.5,1668.75,2202.75
SHMP003,Silky Smooth,Moisturizing,2023-01-01,284,10.99,1349.0,1772.16
SHMP001,Herbal Bliss,Herbal,2023-07-01,482,12.99,2651.0,3610.18
SHMP008,Volume Boost,Volumizing,2023-07-01,371,14.5,2318.75,3060.75
SHMP007,Argan Oil Therapy,Luxury,2023-10-01,452,16.99,3299.6,4379.88
SHMP004,Keratin Repair,Repair,2023-07-01,489,18.75,4009.8,5158.95
SHMP003,Silky Smooth,Moisturizing,2023-02-01,331,10.99,1572.25,2065.44
SHMP001,Herbal Bliss,Herbal,2023-02-01,276,12.99,1518.0,2067.24
SHMP004,Keratin Repair,Repair,2023-01-01,391,18.75,3206.2,4125.05
SHMP010,Scalp Soother,Medicated,2023-10-01,97,17.25,727.5,945.75
SHMP009,Baby Gentle,Kids,2023-05-01,441,8.99,1675.8,2288.79
SHMP009,Baby Gentle,Kids,2023-03-01,385,8.99,1463.0,1998.15
SHMP010,Scalp Soother,Medicated,2023-08-01,344,17.25,2580.0,3354.0
SHMP007,Argan Oil Therapy,Luxury,2023-01-01,307,16.99,2241.1,2974.83
SHMP010,Scalp Soother,Medicated,2023-05-01,374,17.25,2805.0,3646.5
SHMP003,Silky Smooth,Moisturizing,2023-10-01,229,10.99,1087.75,1428.96
SHMP008,Volume Boost,Volumizing,2023-11-01,387,14.5,2418.75,3192.75
SHMP010,Scalp Soother,Medicated,2023-11-01,284,17.25,2130.0,2769.0
SHMP002,Dandruff Defense,Anti-Dandruff,2023-02-01,80,15.5,544.0,696.0
SHMP010,Scalp Soother,Medicated,2023-12-01,184,17.25,1380.0,1794.0
SHMP007,Argan Oil Therapy,Luxury,2023-08-01,200,16.99,1460.0,1938.0
SHMP006,Tea Tree Fresh,Clarifying,2023-05-01,416,11.45,2059.2,2704.0
SHMP004,Keratin Repair,Repair,2023-04-01,85,18.75,697.0,896.75
SHMP007,Argan Oil Therapy,Luxury,2023-12-01,348,16.99,2540.4,3372.12
SHMP010,Scalp Soother,Medicated,2023-04-01,84,17.25,630.0,819.0
SHMP003,Silky Smooth,Moisturizing,2023-03-01,468,10.99,2223.0,2920.32
SHMP006,Tea Tree Fresh,Clarifying,2023-07-01,383,11.45,1895.85,2489.5
SHMP002,Dandruff Defense,Anti-Dandruff,2023-12-01,278,15.5,1890.4,2418.6
SHMP004,Keratin Repair,Repair,2023-12-01,288,18.75,2361.6,3038.4
SHMP005,Coconut Nourish,Natural,2023-06-01,143,13.25,843.7,1051.05
SHMP004,Keratin Repair,Repair,2023-10-01,481,18.75,3944.2,5074.55
SHMP006,Tea Tree Fresh,Clarifying,2023-12-01,361,11.45,1786.95,2346.5
SHMP006,Tea Tree Fresh,Clarifying,2023-04-01,242,11.45,1197.9,1573.0
SHMP007,Argan Oil Therapy,Luxury,2023-03-01,112,16.99,817.6,1085.28
SHMP006,Tea Tree Fresh,Clarifying,2023-03-01,328,11.45,1623.6,2132.0
SHMP008,Volume Boost,Volumizing,2023-09-01,498,14.5,3112.5,4108.5
SHMP008,Volume Boost,Volumizing,2023-04-01,109,14.5,681.25,899.25
SHMP001,Herbal Bliss,Herbal,2023-04-01,213,12.99,1171.5,1595.37
SHMP007,Argan Oil Therapy,Luxury,2023-07-01,451,16.99,3292.3,4370.19
SHMP003,Silky Smooth,Moisturizing,2023-11-01,210,10.99,997.5,1310.4
SHMP001,Herbal Bliss,Herbal,2023-11-01,414,12.99,2277.0,3100.86
SHMP002,Dandruff Defense,Anti-Dandruff,2023-05-01,489,15.5,3325.2,4254.3
SHMP005,Coconut Nourish,Natural,2023-07-01,385,13.25,2271.5,2829.75
SHMP008,Volume Boost,Volumizing,2023-12-01,332,14.5,2075.0,2739.0
SHMP006,Tea Tree Fresh,Clarifying,2023-10-01,61,11.45,301.95,396.5
SHMP006,Tea Tree Fresh,Clarifying,2023-08-01,138,11.45,683.1,897.0
SHMP006,Tea Tree Fresh,Clarifying,2023-02-01,425,11.45,2103.75,2762.5
SHMP010,Scalp Soother,Medicated,2023-09-01,387,17.25,2902.5,3773.25
SHMP006,Tea Tree Fresh,Clarifying,2023-06-01,459,11.45,2272.05,2983.5
SHMP005,Coconut Nourish,Natural,2023-09-01,373,13.25,2200.7,2741.55
SHMP003,Silky Smooth,Moisturizing,2023-08-01,198,10.99,940.5,1235.52
SHMP005,Coconut Nourish,Natural,2023-12-01,224,13.25,1321.6,1646.4
SHMP002,Dandruff Defense,Anti-Dandruff,2023-03-01,116,15.5,788.8,1009.2
SHMP008,Volume Boost,Volumizing,2023-01-01,430,14.5,2687.5,3547.5
SHMP004,Keratin Repair,Repair,2023-11-01,69,18.75,565.8,727.95
SHMP005,Coconut Nourish,Natural,2023-11-01,429,13.25,2531.1,3153.15
SHMP005,Coconut Nourish,Natural,2023-03-01,440,13.25,2596.0,3234.0
SHMP009,Baby Gentle,Kids,2023-07-01,361,8.99,1371.8,1873.59
SHMP002,Dandruff Defense,Anti-Dandruff,2023-06-01,429,15.5,2917.2,3732.3
SHMP004,Keratin Repair,Repair,2023-03-01,145,18.75,1189.0,1529.75
SHMP008,Volume Boost,Volumizing,2023-03-01,130,14.5,812.5,1072.5
SHMP001,Herbal Bliss,Herbal,2023-10-01,385,12.99,2117.5,2883.65
SHMP002,Dandruff Defense,Anti-Dandruff,2023-08-01,417,15.5,2835.6,3627.9
SHMP009,Baby Gentle,Kids,2023-06-01,59,8.99,224.2,306.21
SHMP008,Volume Boost,Volumizing,2023-05-01,150,14.5,937.5,1237.5
SHMP005,Coconut Nourish,Natural,2023-05-01,127,13.25,749.3,933.45
SHMP003,Silky Smooth,Moisturizing,2023-04-01,185,10.99,878.75,1154.4
SHMP003,Silky Smooth,Moisturizing,2023-12-01,198,10.99,940.5,1235.52
SHMP008,Volume Boost,Volumizing,2023-10-01,296,14.5,1850.0,2442.0
SHMP004,Keratin Repair,Repair,2023-05-01,273,18.75,2238.6,2880.15
SHMP002,Dandruff Defense,Anti-Dandruff,2023-09-01,444,15.5,3019.2,3862.8
SHMP002,Dandruff Defense,Anti-Dandruff,2023-07-01,343,15.5,2332.4,2984.1
SHMP009,Baby Gentle,Kids,2023-04-01,407,8.99,1546.6,2112.33
SHMP005,Coconut Nourish,Natural,2023-01-01,127,13.25,749.3,933.45
SHMP009,Baby Gentle,Kids,2023-01-01,381,8.99,1447.8,1977.39
